key,scroll,segment,recipe,resolution_um,pitch_um,window_px,thresh,y0,x0,coverage,frac_above,n_comp,median_extent,mass_big,mass_huge,mass_letter,mass_smear
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,1um_s1z2,1.129,2.258,8704,120,8704,0,0.886,0.0068,48,271.0,0.0,0.0,0.0,0.0
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,1um_s1z2,1.129,2.258,8704,120,8704,4352,0.992,0.0204,49,361.3,0.4518,0.2835,0.4518,0.0
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,1um_s1z2,1.129,2.258,8704,120,8704,8704,0.973,0.0433,72,433.5,0.5887,0.1804,0.5887,0.0
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,1um_s1z2,1.129,2.258,8704,120,8704,13056,0.951,0.0781,90,415.5,0.7236,0.4461,0.7236,0.0
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,1um_s1z2,1.129,2.258,8704,120,8704,17408,0.918,0.1161,99,379.3,0.8159,0.6839,0.5933,0.2226
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,1um_s1z2,1.129,2.258,8704,120,13056,13056,0.719,0.109,72,379.3,0.8626,0.7808,0.3879,0.4747
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,canon,2.399,2.399,8192,124,0,0,0.893,0.0562,77,479.8,0.6802,0.3047,0.6802,0.0
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,canon,2.399,2.399,8192,124,0,4096,0.846,0.0802,76,499.0,0.8189,0.4515,0.8189,0.0
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,canon,2.399,2.399,8192,124,0,8192,0.874,0.223,75,499.0,0.9273,0.8442,0.3032,0.6241
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,canon,2.399,2.399,8192,124,0,12288,0.926,0.2708,81,518.2,0.9147,0.8218,0.1526,0.7621
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,canon,2.399,2.399,8192,124,0,16384,0.733,0.1207,67,556.6,0.8472,0.6175,0.8472,0.0
