key,scroll,segment,recipe,pitch_um,height_ds8,width_ds8,window_px_ds8,n_windows,max_coverage,status
PHerc0172/segments/20251107110950-w064_20251107110950052_flatboi/ink-detection/downsampled/PHerc0172-20251107110950-7.91um-53keV-volume-20241024131839-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251107110950-w064_20251107110950052_flatboi,other,,,,,0,,no_pitch
PHerc0172/segments/20251107110950-w064_20251107110950052_flatboi/ink-detection/downsampled/PHerc0172-20251107110950-7.91um-53keV-volume-20241024131839-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251107110950-w064_20251107110950052_flatboi,other,,,,,0,,no_pitch
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,1um_s1z2,2.258,3765,3521,1088,6,0.992,scored
PHerc0139/segments/20250108000000-w025_2025010863/ink-detection/downsampled/PHerc0139-20250108000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000000-w025_2025010863,canon,2.399,3540,3310,1024,25,1.0,scored
PHerc0139/segments/20250108000001-w026_2025010854/ink-detection/downsampled/PHerc0139-20250108000001-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000001-w026_2025010854,1um_s1z2,2.258,3850,3788,1088,5,0.999,scored
PHerc0139/segments/20250108000001-w026_2025010854/ink-detection/downsampled/PHerc0139-20250108000001-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000001-w026_2025010854,canon,2.399,3620,3560,1024,29,1.0,scored
PHerc0139/segments/20250108000002-w027_2025010845/ink-detection/downsampled/PHerc0139-20250108000002-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000002-w027_2025010845,1um_s1z2,2.258,3786,3776,1088,5,1.0,scored
PHerc0139/segments/20250108000002-w027_2025010845/ink-detection/downsampled/PHerc0139-20250108000002-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000002-w027_2025010845,canon,2.399,3560,3550,1024,25,1.0,scored
PHerc0139/segments/20250108000003-w028_2025010836/ink-detection/downsampled/PHerc0139-20250108000003-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000003-w028_2025010836,1um_s1z2,2.258,3754,3808,1088,6,1.0,scored
PHerc0139/segments/20250108000003-w028_2025010836/ink-detection/downsampled/PHerc0139-20250108000003-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000003-w028_2025010836,canon,2.399,3530,3580,1024,25,1.0,scored
PHerc0139/segments/20250108000004-w029_2025010827/ink-detection/downsampled/PHerc0139-20250108000004-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000004-w029_2025010827,1um_s1z2,2.258,3733,3840,1088,6,1.0,scored
PHerc0139/segments/20250108000004-w029_2025010827/ink-detection/downsampled/PHerc0139-20250108000004-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000004-w029_2025010827,canon,2.399,3510,3610,1024,28,1.0,scored
PHerc0139/segments/20250108000005-w030_2025010818/ink-detection/downsampled/PHerc0139-20250108000005-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250108000005-w030_2025010818,1um_s1z2,2.258,3690,3861,1088,6,1.0,scored
PHerc0139/segments/20250108000005-w030_2025010818/ink-detection/downsampled/PHerc0139-20250108000005-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250108000005-w030_2025010818,canon,2.399,3470,3630,1024,28,1.0,scored
PHerc0139/segments/20250223000000-w059_2025022312/ink-detection/downsampled/PHerc0139-20250223000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250223000000-w059_2025022312,1um_s1z2,2.258,3733,5180,1088,14,0.917,scored
PHerc0139/segments/20250223000000-w059_2025022312/ink-detection/downsampled/PHerc0139-20250223000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250223000000-w059_2025022312,canon,2.399,3510,4870,1024,38,1.0,scored
PHerc0139/segments/20250831000000-w040_2025083102/ink-detection/downsampled/PHerc0139-20250831000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20250831000000-w040_2025083102,1um_s1z2,2.258,3308,4128,1088,11,0.935,scored
PHerc0139/segments/20250831000000-w040_2025083102/ink-detection/downsampled/PHerc0139-20250831000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20250831000000-w040_2025083102,canon,2.399,3110,3880,1024,30,1.0,scored
PHerc0139/segments/20251226000000-w055_2025122611/ink-detection/downsampled/PHerc0139-20251226000000-1.129um-0.22m-59keV-volume-20260413113053-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc0139,20251226000000-w055_2025122611,1um_s1z2,2.258,3989,5394,1088,9,1.0,scored
PHerc0139/segments/20251226000000-w055_2025122611/ink-detection/downsampled/PHerc0139-20251226000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0139,20251226000000-w055_2025122611,canon,2.399,3750,5070,1024,47,1.0,scored
