key,scroll,segment,recipe,n_windows,scroll_base_rate,p_zero_by_chance,significant,max_score
PHercParis4/segments/20260701183149-w124-125/ink-detection/downsampled/PHercParis4-20260701183149-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20260701183149-w124-125,canon,104,0.05534,0.00268,1,0.8803
PHercParis4/segments/20260701183150-w126-127/ink-detection/downsampled/PHercParis4-20260701183150-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20260701183150-w126-127,canon,99,0.05534,0.00357,1,0.893
PHercParis4/segments/20260701183151-w128-129/ink-detection/downsampled/PHercParis4-20260701183151-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20260701183151-w128-129,canon,93,0.05534,0.00502,1,0.8599
PHercParis4/segments/20260623170833-w124-125/ink-detection/downsampled/PHercParis4-20260623170833-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20260623170833-w124-125,canon,60,0.05534,0.03285,1,0.889
PHercParis4/segments/20260623150417-w064-068/ink-detection/downsampled/PHercParis4-20260623150417-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623150417-w064-068,1um_s1z2,42,0.05534,0.09154,0,0.8756
PHercParis4/segments/20260623153216-w081-084/ink-detection/downsampled/PHercParis4-20260623153216-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623153216-w081-084,1um_s1z2,40,0.05534,0.10258,0,0.8708
PHercParis4/segments/20260623154006-w085-088/ink-detection/downsampled/PHercParis4-20260623154006-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623154006-w085-088,1um_s1z2,40,0.05534,0.10258,0,0.8936
PHerc1667/segments/20240304161941-w023_20240304161941_flatboi/ink-detection/downsampled/PHerc1667-20240304161941-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHerc1667,20240304161941-w023_20240304161941_flatboi,1um_s1z2,22,0.09446,0.1127,0,0.8908
PHercParis4/segments/20260623152443-w077-080/ink-detection/downsampled/PHercParis4-20260623152443-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623152443-w077-080,1um_s1z2,38,0.05534,0.11495,0,0.8373
PHercParis4/segments/20260623155240-w092-094/ink-detection/downsampled/PHercParis4-20260623155240-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623155240-w092-094,1um_s1z2,32,0.05534,0.16175,0,0.8729
