cell,verdict,scroll,recipe,max_score,segment,key
0,estructura,PHerc0172,other,0.8983,20251115002742-auto_grown_20251115002740308_2_flatboi,PHerc0172/segments/20251115002742-auto_grown_20251115002740308_2_flatboi/ink-detection/downsampled/PHerc0172-20251115002742-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg
1,estructura,PHerc0172,other,0.8973,20251212105627-w052_20251212105627148_flatboi,PHerc0172/segments/20251212105627-w052_20251212105627148_flatboi/ink-detection/downsampled/PHerc0172-20251212105627-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg
2,moteado,PHerc0172,other,0.8966,20250926113336-w079_20250926113336891_flatboi,PHerc0172/segments/20250926113336-w079_20250926113336891_flatboi/ink-detection/downsampled/PHerc0172-20250926113336-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg
3,estructura,PHerc0172,other,0.896,20251112163527-w071_20251112163527854_flatboi,PHerc0172/segments/20251112163527-w071_20251112163527854_flatboi/ink-detection/downsampled/PHerc0172-20251112163527-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg
4,estructura,PHerc0172,other,0.896,20251111210734-w070_20251111210734722_flatboi,PHerc0172/segments/20251111210734-w070_20251111210734722_flatboi/ink-detection/downsampled/PHerc0172-20251111210734-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg
5,moteado,PHerc0172,other,0.8948,20251113152136-w074_20251113152136889_flatboi,PHerc0172/segments/20251113152136-w074_20251113152136889_flatboi/ink-detection/downsampled/PHerc0172-20251113152136-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg
6,letras,PHercParis4,1um_s1z2,0.8936,20260623154006-w085-088,PHercParis4/segments/20260623154006-w085-088/ink-detection/downsampled/PHercParis4-20260623154006-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg
7,letras,PHercParis4,canon,0.893,20260701183150-w126-127,PHercParis4/segments/20260701183150-w126-127/ink-detection/downsampled/PHercParis4-20260701183150-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg
8,moteado,PHerc0172,other,0.8921,20251115002746-auto_grown_20251115002740308_6_flatboi,PHerc0172/segments/20251115002746-auto_grown_20251115002740308_6_flatboi/ink-detection/downsampled/PHerc0172-20251115002746-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg
9,letras,PHerc1667,1um_s1z2,0.8908,20240304161941-w023_20240304161941_flatboi,PHerc1667/segments/20240304161941-w023_20240304161941_flatboi/ink-detection/downsampled/PHerc1667-20240304161941-1.129um-0.22m-59keV-volume-20260323082859-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg
10,letras,PHercParis4,canon,0.889,20260623170833-w124-125,PHercParis4/segments/20260623170833-w124-125/ink-detection/downsampled/PHercParis4-20260623170833-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg
11,moteado,PHerc0172,other,0.8885,20251107175958-w061_20251107175958270_flatboi,PHerc0172/segments/20251107175958-w061_20251107175958270_flatboi/ink-detection/downsampled/PHerc0172-20251107175958-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg
12,estructura,PHerc0172,other,0.8865,20251110110112-w066_20251110110112608_flatboi,PHerc0172/segments/20251110110112-w066_20251110110112608_flatboi/ink-detection/downsampled/PHerc0172-20251110110112-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg
13,moteado,PHerc0172,other,0.8861,20251210142414-w059_20251210142414060_flatboi,PHerc0172/segments/20251210142414-w059_20251210142414060_flatboi/ink-detection/downsampled/PHerc0172-20251210142414-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg
