key,scroll,segment,recipe,windows,max_score,mean_score,best_y0,best_x0,window_px,ci_hi
PHerc0172/segments/20251210153304-w058_20251210153304503_flatboi/ink-detection/downsampled/PHerc0172-20251210153304-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251210153304-w058_20251210153304503_flatboi,other,20,0.8777,0.7648,1240,3720,2488,0.1611
PHerc0172/segments/20250926132117-w083_20250926132117595_flatboi/ink-detection/downsampled/PHerc0172-20250926132117-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20250926132117-w083_20250926132117595_flatboi,other,22,0.9002,0.7627,7440,1240,2488,0.1487
PHercParis4/segments/20260623154006-w085-088/ink-detection/downsampled/PHercParis4-20260623154006-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20260623154006-w085-088,canon,128,0.9247,0.7468,40960,77824,8192,0.0291
PHerc0172/segments/20250926114310-w080_20250926114310705_flatboi/ink-detection/downsampled/PHerc0172-20250926114310-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20250926114310-w080_20250926114310705_flatboi,other,20,0.9012,0.7386,9920,8680,2488,0.1611
PHerc0172/segments/20251111010954-w068_20251111010954408_flatboi/ink-detection/downsampled/PHerc0172-20251111010954-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251111010954-w068_20251111010954408_flatboi,other,30,0.9103,0.7357,3720,9920,2488,0.1135
PHerc0172/segments/20250926122938-w082_20250926122938619_flatboi/ink-detection/downsampled/PHerc0172-20250926122938-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20250926122938-w082_20250926122938619_flatboi,other,22,0.8778,0.7347,7440,0,2488,0.1487
PHercParis4/segments/20260623151729-w073-076/ink-detection/downsampled/PHercParis4-20260623151729-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623151729-w073-076,1um_s1z2,27,0.867,0.7281,17408,60928,8704,0.1246
PHerc0172/segments/20251210160810-w057_20251210160810301_flatboi/ink-detection/downsampled/PHerc0172-20251210160810-7.91um-53keV-volume-20241024131838-20251222202946-timesformer_scroll5_november19-tile64-stride16-ds8.jpg,PHerc0172,20251210160810-w057_20251210160810301_flatboi,other,20,0.8456,0.7269,0,8680,2488,0.1611
PHerc0172/segments/20251109232817-w065_20251109232817724_flatboi/ink-detection/downsampled/PHerc0172-20251109232817-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20251109232817-w065_20251109232817724_flatboi,other,34,0.9143,0.726,9920,9920,2488,0.1015
PHerc0172/segments/20250917143559-w062_20250917143559205_flatboi/ink-detection/downsampled/PHerc0172-20250917143559-7.91um-53keV-volume-20241024131838-20250713185324-timesformer_scroll5_july_retreat-tile64-stride16-ds8.jpg,PHerc0172,20250917143559-w062_20250917143559205_flatboi,other,28,0.8754,0.7247,9920,2480,2488,0.1206
