scroll,segment,recipe,y0,x0,window_px,mass_letter
PHercParis4,20260623171929-w128-129,canon,57344,69632,8192,1.0000
PHercParis4,20260701183151-w128-129,canon,57344,36864,8192,1.0000
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,16384,8192,8192,0.9906
PHercParis4,20260623143441-w038-045,1um_s1z2,39168,39168,8704,0.9841
PHercParis4,20231012184424,canon,4096,57344,8192,0.9824
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,20480,0,8192,0.9808
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,16384,4096,8192,0.9799
PHercParis4,20231106155351,1um_s1z2,26112,21760,8704,0.9766
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,12288,8192,8192,0.9757
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,8192,8192,8192,0.9733
PHercParis4,20230702185753,1um_s1z2,30464,8704,8704,0.9719
PHercParis4,20260623142658-w028-037,canon,28672,102400,8192,0.9704
PHercParis4,20260701183126-w038-045,canon,45056,36864,8192,0.9703
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,20480,4096,8192,0.9701
PHercParis4,20231210121321,1um_s1z2,43520,21760,8704,0.9699
PHerc1667,20240304161941-w023_20240304161941_flatboi,canon,12288,69632,8192,0.9695
PHercParis4,20260623142658-w028-037,1um_s1z2,34816,104448,8704,0.9694
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,8192,4096,8192,0.9689
PHercParis4,20260623143441-w038-045,1um_s1z2,39168,34816,8704,0.9686
PHercParis4,20231007101619,1um_s1z2,26112,13056,8704,0.9685
PHercParis4,20260701183126-w038-045,canon,32768,102400,8192,0.9685
PHercParis4,20260623143441-w038-045,canon,4096,106496,8192,0.9684
PHercParis4,20260701183126-w038-045,canon,16384,32768,8192,0.9681
PHercParis4,20260623143441-w038-045,canon,12288,32768,8192,0.9678
PHercParis4,20231012184424,canon,36864,53248,8192,0.9677
PHercParis4,20231012184424,canon,16384,24576,8192,0.9675
PHercParis4,20231005123336,canon,12288,16384,8192,0.9670
PHercParis4,20260623142658-w028-037,1um_s1z2,34816,52224,8704,0.9669
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,20480,8192,8192,0.9666
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,32768,8192,0.9666
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,20480,8192,8192,0.9663
PHercParis4,20260623142658-w028-037,canon,8192,81920,8192,0.9663
PHercParis4,20231012184424,canon,4096,65536,8192,0.9662
PHercParis4,20260701183125-w028-037,canon,8192,73728,8192,0.9662
PHercParis4,20260623142658-w028-037,1um_s1z2,30464,108800,8704,0.9654
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,12288,8192,0.9653
PHercParis4,20260623142658-w028-037,1um_s1z2,39168,52224,8704,0.9646
PHercParis4,20260623143441-w038-045,canon,36864,36864,8192,0.9646
PHercParis4,20231005123336,canon,8192,20480,8192,0.9644
PHercParis4,20231012184424,canon,12288,20480,8192,0.9644
PHercParis4,20260701183126-w038-045,canon,16384,122880,8192,0.9640
PHercParis4,20260623142658-w028-037,1um_s1z2,13056,87040,8704,0.9634
PHercParis4,20260701183143-w110-112,canon,24576,135168,8192,0.9634
PHercParis4,20231210121321,1um_s1z2,26112,26112,8704,0.9627
PHercParis4,20260701183126-w038-045,canon,45056,135168,8192,0.9627
PHercParis4,20260701183151-w128-129,canon,53248,36864,8192,0.9627
PHercParis4,20230702185753,1um_s1z2,43520,8704,8704,0.9622
PHercParis4,20260701183125-w028-037,canon,20480,81920,8192,0.9620
PHercParis4,20260701183126-w038-045,canon,16384,57344,8192,0.9618
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,20480,28672,8192,0.9617
PHercParis4,20260623142658-w028-037,1um_s1z2,34816,134912,8704,0.9616
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,8192,8192,0.9612
PHercParis4,20260701183124-w010-027,canon,0,65536,8192,0.9612
PHercParis4,20260701183125-w028-037,canon,0,40960,8192,0.9612
PHercParis4,20260623142658-w028-037,1um_s1z2,30464,178432,8704,0.9611
PHercParis4,20260701183125-w028-037,canon,12288,77824,8192,0.9611
PHercParis4,20231012184424,canon,16384,49152,8192,0.9610
PHercParis4,20260623142658-w028-037,canon,32768,73728,8192,0.9610
PHercParis4,20260701183129-w059-063,canon,8192,114688,8192,0.9608
PHercParis4,20260701183125-w028-037,canon,16384,77824,8192,0.9605
PHercParis4,20231005123336,canon,20480,86016,8192,0.9603
PHercParis4,20231005123336,canon,16384,86016,8192,0.9601
PHercParis4,20260701183125-w028-037,canon,16384,106496,8192,0.9601
PHercParis4,20231012184424,canon,8192,20480,8192,0.9599
PHercParis4,20260623142658-w028-037,1um_s1z2,34816,139264,8704,0.9599
PHercParis4,20260623143441-w038-045,canon,0,106496,8192,0.9599
PHercParis4,20260623142658-w028-037,1um_s1z2,39168,13056,8704,0.9596
PHercParis4,20260701183125-w028-037,canon,36864,73728,8192,0.9595
PHercParis4,20260701183125-w028-037,canon,24576,4096,8192,0.9594
PHercParis4,20260701183125-w028-037,canon,28672,106496,8192,0.9594
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,4096,8192,0.9591
PHercParis4,20260701183125-w028-037,canon,20480,4096,8192,0.9589
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,12288,4096,8192,0.9588
PHercParis4,20260623143441-w038-045,canon,32768,61440,8192,0.9582
PHerc1667,20240304141531-w013_20240304141531_flatboi,canon,16384,0,8192,0.9581
PHercParis4,20231012184424,canon,8192,24576,8192,0.9579
PHercParis4,20260701183141-w104-106,canon,16384,12288,8192,0.9578
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,20480,12288,8192,0.9577
PHercParis4,20260623171929-w128-129,canon,45056,49152,8192,0.9574
PHercParis4,20260701183125-w028-037,canon,32768,102400,8192,0.9570
PHercParis4,20260701183126-w038-045,canon,12288,61440,8192,0.9569
PHercParis4,20231005123336,canon,12288,81920,8192,0.9566
PHercParis4,20260623143441-w038-045,canon,8192,106496,8192,0.9564
PHercParis4,20260701183143-w110-112,canon,24576,139264,8192,0.9564
PHercParis4,20260701183125-w028-037,canon,32768,106496,8192,0.9563
PHercParis4,20231005123336,canon,16384,53248,8192,0.9562
PHercParis4,20260701183126-w038-045,canon,12288,57344,8192,0.9561
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,28672,8192,0.9559
PHercParis4,20230929220926,canon,8192,61440,8192,0.9559
PHercParis4,20260623142658-w028-037,1um_s1z2,13056,69632,8704,0.9559
PHercParis4,20260623142658-w028-037,canon,32768,77824,8192,0.9559
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,16384,8192,8192,0.9558
PHercParis4,20260623142658-w028-037,canon,32768,81920,8192,0.9556
PHercParis4,20260701183125-w028-037,canon,28672,114688,8192,0.9556
PHercParis4,20260701183126-w038-045,canon,45056,65536,8192,0.9556
PHerc0172,20251107110950-w064_20251107110950052_flatboi,other,4960,2480,2488,0.9554
PHercParis4,20260701183125-w028-037,canon,20480,45056,8192,0.9553
PHercParis4,20231012184424,canon,0,65536,8192,0.9552
PHercParis4,20260623141924-w010-027,1um_s1z2,34816,0,8704,0.9551
PHercParis4,20260623142658-w028-037,canon,0,40960,8192,0.9547
PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,16384,73728,8192,0.9544
PHercParis4,20260623142658-w028-037,1um_s1z2,39168,104448,8704,0.9542
PHercParis4,20231007101619,1um_s1z2,21760,13056,8704,0.9540
PHercParis4,20260623143441-w038-045,1um_s1z2,21760,113152,8704,0.9540
PHercParis4,20231012184424,canon,20480,49152,8192,0.9539
PHercParis4,20231210121321,1um_s1z2,26112,21760,8704,0.9539
PHercParis4,20260623141924-w010-027,1um_s1z2,21760,65280,8704,0.9539
PHercParis4,20260623142658-w028-037,canon,32768,49152,8192,0.9539
PHerc1667,20240304161941-w023_20240304161941_flatboi,canon,12288,65536,8192,0.9536
PHercParis4,20260623142658-w028-037,canon,0,73728,8192,0.9536
PHercParis4,20231007101619,canon,20480,12288,8192,0.9534
PHercParis4,20231012184424,1um_s1z2,43520,26112,8704,0.9534
PHercParis4,20231012184424,canon,24576,57344,8192,0.9534
PHercParis4,20260701183126-w038-045,canon,8192,61440,8192,0.9534
PHercParis4,20260701183126-w038-045,canon,45056,131072,8192,0.9532
PHercParis4,20260623142658-w028-037,1um_s1z2,17408,87040,8704,0.9531
PHercParis4,20260701183125-w028-037,canon,20480,102400,8192,0.9531
PHercParis4,20231005123336,canon,16384,16384,8192,0.9530
PHercParis4,20231012184424,1um_s1z2,39168,47872,8704,0.9530
