scroll,segment,recipe,pitch_um,y0,x0,jpg,area,requant,q50
PHercParis4,20260603145540-5753_-4,canon,2.4,0,4096,0.3317,0.3324,0.3324,0.3308
PHercParis4,20260603145540-5753_-4,canon,2.4,4096,4096,0.3702,0.3709,0.371,0.3864
PHercParis4,20260603145540-5753_-4,canon,2.4,8192,4096,0.322,0.3227,0.3228,0.358
PHercParis4,20260603145540-5753_-4,canon,2.4,12288,4096,0.3083,0.3093,0.3093,0.3227
PHercParis4,20260603145540-5753_-4,canon,2.4,16384,4096,0.197,0.1978,0.1976,0.196
PHercParis4,20260603145540-5753_-4,canon,2.4,20480,4096,0.1855,0.1862,0.1862,0.1847
PHercParis4,20260603145540-5753_-4,canon,2.4,24576,4096,0.277,0.2442,0.2443,0.2756
PHercParis4,20260603145540-5753_-4,canon,2.4,28672,4096,0.2213,0.1707,0.1705,0.2198
PHercParis4,20260603145540-5753_-4,canon,2.4,32768,0,0.0,0.0,0.0,0.0
PHercParis4,20260603145540-5753_-4,canon,2.4,32768,4096,0.1552,0.1557,0.1556,0.1546
PHercParis4,20260603145540-5753_-4,canon,2.4,36864,0,0.0,0.0,0.0,0.0
PHercParis4,20260603145540-5753_-4,canon,2.4,36864,4096,0.0823,0.0827,0.0827,0.0824
PHercParis4,20260603145540-5753_-4,canon,2.4,40960,0,0.0,0.0,0.0,0.0
PHercParis4,20260603145540-5753_-4,canon,2.4,40960,4096,0.0,0.0,0.0,0.0
PHercParis4,20260603145540-5753_-4,canon,2.4,45056,0,0.1178,0.1177,0.0466,0.1187
PHercParis4,20260603145540-5753_-4,canon,2.4,45056,4096,0.0198,0.0199,0.0198,0.0195
PHercParis4,20260603145540-5753_-4,canon,2.4,49152,0,0.0795,0.0795,0.0314,0.1179
PHercParis4,20260603145540-5753_-4,canon,2.4,49152,4096,0.1713,0.1716,0.1716,0.1706
PHercParis4,20260603145540-5753_-4,canon,2.4,53248,0,0.0,0.0,0.0,0.0372
PHercParis4,20260603145540-5753_-4,canon,2.4,53248,4096,0.1825,0.1832,0.1833,0.1816
PHercParis4,20260603145540-5753_-4,canon,2.4,57344,0,0.3814,0.3827,0.3822,0.3799
PHercParis4,20260603145540-5753_-4,canon,2.4,57344,4096,0.3391,0.3405,0.3401,0.3375
PHercParis4,20260603145540-5753_-4,canon,2.4,61440,0,0.5287,0.5302,0.5295,0.5277
PHercParis4,20260603145540-5753_-4,canon,2.4,61440,4096,0.47,0.4713,0.471,0.4686
PHercParis4,20260603145540-5753_-4,canon,2.4,65536,0,0.4438,0.445,0.4448,0.4427
PHercParis4,20260603145540-5753_-4,canon,2.4,65536,4096,0.3798,0.3809,0.3807,0.3783
PHercParis4,20260603145540-5753_-4,canon,2.4,69632,0,0.311,0.3115,0.3117,0.3099
PHercParis4,20260603145540-5753_-4,canon,2.4,69632,4096,0.1951,0.1957,0.1955,0.194
PHerc0172,20251211135303-w054,other,7.91,0,0,0.4722,0.4749,0.4793,0.4725
PHerc0172,20251211135303-w054,other,7.91,0,1240,0.8065,0.8091,0.8167,0.8052
PHerc0172,20251211135303-w054,other,7.91,0,2480,0.7437,0.742,0.744,0.7541
PHerc0172,20251211135303-w054,other,7.91,0,3720,0.6493,0.6509,0.6503,0.6651
PHerc0172,20251211135303-w054,other,7.91,0,4960,0.7826,0.7834,0.7835,0.7842
PHerc0172,20251211135303-w054,other,7.91,0,6200,0.7601,0.7609,0.7611,0.7586
PHerc0172,20251211135303-w054,other,7.91,0,7440,0.6821,0.6743,0.6748,0.6823
PHerc0172,20251211135303-w054,other,7.91,0,8680,0.6913,0.6872,0.6878,0.6934
PHerc0172,20251211135303-w054,other,7.91,0,9920,0.5774,0.5776,0.5779,0.5781
PHerc0172,20251211135303-w054,other,7.91,1240,0,0.3067,0.3177,0.3027,0.3212
PHerc0172,20251211135303-w054,other,7.91,1240,1240,0.7657,0.7634,0.7572,0.7697
PHerc0172,20251211135303-w054,other,7.91,1240,2480,0.7297,0.7232,0.7279,0.7445
PHerc0172,20251211135303-w054,other,7.91,1240,3720,0.7467,0.7514,0.7466,0.7726
PHerc0172,20251211135303-w054,other,7.91,1240,4960,0.7827,0.7832,0.7823,0.7837
PHerc0172,20251211135303-w054,other,7.91,1240,6200,0.758,0.7555,0.7575,0.7553
PHerc0172,20251211135303-w054,other,7.91,1240,7440,0.8004,0.792,0.7947,0.7997
PHerc0172,20251211135303-w054,other,7.91,1240,8680,0.7597,0.7565,0.7569,0.7672
PHerc0172,20251211135303-w054,other,7.91,1240,9920,0.6426,0.6426,0.6481,0.6493
PHerc0172,20251211135303-w054,other,7.91,2480,0,0.2673,0.27,0.2662,0.2701
PHerc0172,20251211135303-w054,other,7.91,2480,1240,0.7221,0.7212,0.7141,0.7215
PHerc0172,20251211135303-w054,other,7.91,2480,2480,0.6964,0.6918,0.6962,0.7032
PHerc0172,20251211135303-w054,other,7.91,2480,3720,0.6939,0.6989,0.6943,0.7106
PHerc0172,20251211135303-w054,other,7.91,2480,4960,0.74,0.7394,0.7396,0.736
PHerc0172,20251211135303-w054,other,7.91,2480,6200,0.7278,0.7242,0.7272,0.721
PHerc0172,20251211135303-w054,other,7.91,2480,7440,0.813,0.8096,0.8122,0.8167
PHerc0172,20251211135303-w054,other,7.91,2480,8680,0.8656,0.8726,0.8731,0.8789
PHerc0172,20251211135303-w054,other,7.91,2480,9920,0.6395,0.6476,0.6532,0.6505
PHerc0172,20251211135303-w054,other,7.91,3720,0,0.3618,0.3636,0.3043,0.3033
PHerc0172,20251211135303-w054,other,7.91,3720,1240,0.7753,0.7758,0.775,0.7758
PHerc0172,20251211135303-w054,other,7.91,3720,2480,0.7119,0.7128,0.7125,0.7141
PHerc0172,20251211135303-w054,other,7.91,3720,3720,0.7032,0.7033,0.7043,0.7065
PHerc0172,20251211135303-w054,other,7.91,3720,4960,0.7544,0.7535,0.7535,0.7428
PHerc0172,20251211135303-w054,other,7.91,3720,6200,0.7408,0.7405,0.7403,0.7307
PHerc0172,20251211135303-w054,other,7.91,3720,7440,0.7539,0.7536,0.7537,0.7486
PHerc0172,20251211135303-w054,other,7.91,3720,8680,0.8166,0.827,0.8272,0.8176
PHerc0172,20251211135303-w054,other,7.91,3720,9920,0.8421,0.852,0.8539,0.8503
PHerc0172,20251211135303-w054,other,7.91,4960,0,0.3745,0.3742,0.3393,0.3395
PHerc0172,20251211135303-w054,other,7.91,4960,1240,0.7439,0.7443,0.7434,0.7437
PHerc0172,20251211135303-w054,other,7.91,4960,2480,0.7771,0.7793,0.7766,0.7769
PHerc0172,20251211135303-w054,other,7.91,4960,3720,0.83,0.83,0.8294,0.8304
PHerc0172,20251211135303-w054,other,7.91,4960,4960,0.8485,0.8474,0.8479,0.8389
PHerc0172,20251211135303-w054,other,7.91,4960,6200,0.8507,0.8505,0.8506,0.842
PHerc0172,20251211135303-w054,other,7.91,4960,7440,0.7796,0.7799,0.7789,0.7688
PHerc0172,20251211135303-w054,other,7.91,4960,8680,0.8046,0.8074,0.8067,0.7981
PHerc0172,20251211135303-w054,other,7.91,4960,9920,0.8388,0.8463,0.8484,0.8399
PHerc0172,20251211135303-w054,other,7.91,6200,0,0.3338,0.3397,0.336,0.3326
PHerc0172,20251211135303-w054,other,7.91,6200,1240,0.7397,0.7396,0.7392,0.7399
PHerc0172,20251211135303-w054,other,7.91,6200,2480,0.7223,0.7174,0.7212,0.7215
PHerc0172,20251211135303-w054,other,7.91,6200,3720,0.7675,0.7617,0.7652,0.7656
PHerc0172,20251211135303-w054,other,7.91,6200,4960,0.7469,0.7461,0.7463,0.7473
PHerc0172,20251211135303-w054,other,7.91,6200,6200,0.9038,0.9032,0.9052,0.9061
PHerc0172,20251211135303-w054,other,7.91,6200,7440,0.8066,0.8058,0.8059,0.8082
PHerc0172,20251211135303-w054,other,7.91,6200,8680,0.6084,0.6088,0.6126,0.6082
PHerc0172,20251211135303-w054,other,7.91,6200,9920,0.5533,0.5613,0.568,0.5641
PHerc0172,20251211135303-w054,other,7.91,7440,0,0.2919,0.3051,0.302,0.2986
PHerc0172,20251211135303-w054,other,7.91,7440,1240,0.5887,0.5952,0.5954,0.594
PHerc0172,20251211135303-w054,other,7.91,7440,2480,0.684,0.6833,0.6882,0.6875
PHerc0172,20251211135303-w054,other,7.91,7440,3720,0.7563,0.7507,0.7546,0.7584
PHerc0172,20251211135303-w054,other,7.91,7440,4960,0.7408,0.7406,0.7401,0.7409
PHerc0172,20251211135303-w054,other,7.91,7440,6200,0.8359,0.8353,0.8372,0.8376
PHerc0172,20251211135303-w054,other,7.91,7440,7440,0.7842,0.784,0.7872,0.7882
PHerc0172,20251211135303-w054,other,7.91,7440,8680,0.6676,0.6675,0.6728,0.6689
PHercParis4,20231031143852,canon,2.4,0,0,0.6794,0.6837,0.6836,0.6842
PHercParis4,20231031143852,canon,2.4,0,4096,0.9054,0.8968,0.8968,0.8968
PHercParis4,20231031143852,canon,2.4,0,8192,0.94,0.9341,0.9342,0.934
PHercParis4,20231031143852,canon,2.4,0,12288,0.9042,0.9051,0.9051,0.9052
PHercParis4,20231031143852,canon,2.4,0,16384,0.887,0.8882,0.8881,0.8882
PHercParis4,20231031143852,canon,2.4,0,20480,0.89,0.8903,0.8903,0.8903
PHercParis4,20231031143852,canon,2.4,0,24576,0.8508,0.8517,0.8516,0.8519
PHercParis4,20231031143852,canon,2.4,0,28672,0.8487,0.8697,0.8696,0.8703
PHercParis4,20231031143852,canon,2.4,0,32768,0.6915,0.6932,0.693,0.6934
PHercParis4,20231031143852,canon,2.4,4096,0,0.7004,0.7026,0.7025,0.7025
PHercParis4,20231031143852,canon,2.4,4096,4096,0.8288,0.822,0.8218,0.8222
PHercParis4,20231031143852,canon,2.4,4096,8192,0.8044,0.7984,0.7984,0.7987
PHercParis4,20231031143852,canon,2.4,4096,12288,0.8224,0.823,0.8231,0.8232
PHercParis4,20231031143852,canon,2.4,4096,16384,0.8609,0.86,0.8601,0.8603
PHercParis4,20231031143852,canon,2.4,4096,20480,0.8377,0.8368,0.8367,0.8369
PHercParis4,20231031143852,canon,2.4,4096,24576,0.8448,0.8459,0.8457,0.8459
PHercParis4,20231031143852,canon,2.4,4096,28672,0.8537,0.8453,0.8452,0.8454
PHercParis4,20231031143852,canon,2.4,4096,32768,0.7648,0.7262,0.7261,0.7262
PHercParis4,20231031143852,canon,2.4,8192,0,0.7502,0.7516,0.7514,0.7514
PHercParis4,20231031143852,canon,2.4,8192,4096,0.8088,0.8107,0.8105,0.8107
PHercParis4,20231031143852,canon,2.4,8192,8192,0.7783,0.7795,0.7794,0.7797
PHercParis4,20231031143852,canon,2.4,8192,12288,0.8288,0.8298,0.8298,0.8299
PHercParis4,20231031143852,canon,2.4,8192,16384,0.8599,0.8586,0.8587,0.8588
PHercParis4,20231031143852,canon,2.4,8192,20480,0.822,0.8202,0.8204,0.8207
PHercParis4,20231031143852,canon,2.4,8192,24576,0.8496,0.8498,0.8498,0.8501
PHercParis4,20231031143852,canon,2.4,8192,28672,0.79,0.7804,0.7804,0.7925
PHercParis4,20231031143852,canon,2.4,8192,32768,0.6295,0.5919,0.5918,0.6161
PHercParis4,20231031143852,canon,2.4,12288,4096,0.8689,0.8701,0.87,0.87
PHercParis4,20231031143852,canon,2.4,12288,8192,0.8668,0.8678,0.8679,0.8678
PHercParis4,20231031143852,canon,2.4,12288,12288,0.8513,0.8524,0.8523,0.8524
PHercParis4,20231031143852,canon,2.4,12288,16384,0.893,0.8936,0.8937,0.8937
PHercParis4,20231031143852,canon,2.4,12288,20480,0.854,0.8547,0.8549,0.855
PHercParis4,20231031143852,canon,2.4,12288,24576,0.8874,0.8884,0.8883,0.8885
PHercParis4,20231031143852,canon,2.4,12288,28672,0.7887,0.7905,0.7902,0.8029
PHercParis4,20231031143852,canon,2.4,12288,32768,0.6626,0.6636,0.6636,0.6789
PHercParis4,20231031143852,canon,2.4,16384,4096,0.873,0.874,0.8739,0.8742
PHercParis4,20231031143852,canon,2.4,16384,8192,0.8592,0.86,0.86,0.8603
PHercParis4,20231031143852,canon,2.4,16384,12288,0.8503,0.8512,0.8512,0.8514
PHercParis4,20231031143852,canon,2.4,16384,16384,0.9107,0.9115,0.9116,0.9115
PHercParis4,20231031143852,canon,2.4,16384,20480,0.8604,0.8619,0.8619,0.8618
PHercParis4,20231031143852,canon,2.4,16384,24576,0.8712,0.8723,0.8721,0.8722
PHercParis4,20231031143852,canon,2.4,16384,28672,0.774,0.7754,0.775,0.7758
PHercParis4,20231031143852,canon,2.4,16384,32768,0.7341,0.7359,0.7358,0.7362
PHercParis4,20231031143852,canon,2.4,20480,4096,0.832,0.8327,0.8327,0.8309
PHercParis4,20231031143852,canon,2.4,20480,8192,0.8657,0.8663,0.8663,0.8671
PHercParis4,20231031143852,canon,2.4,20480,12288,0.9003,0.9011,0.9012,0.8941
PHercParis4,20231031143852,canon,2.4,20480,16384,0.7796,0.7804,0.7803,0.772
PHercParis4,20231031143852,canon,2.4,20480,20480,0.7938,0.7951,0.795,0.7949
PHercParis4,20231031143852,canon,2.4,20480,24576,0.8934,0.9032,0.9031,0.9031
PHercParis4,20231031143852,canon,2.4,20480,28672,0.7509,0.7722,0.7721,0.7724
PHercParis4,20231031143852,canon,2.4,20480,32768,0.8006,0.802,0.8021,0.8025
PHercParis4,20231031143852,canon,2.4,24576,4096,0.875,0.8761,0.876,0.8743
PHercParis4,20231031143852,canon,2.4,24576,8192,0.8855,0.8866,0.8866,0.8871
PHercParis4,20231031143852,canon,2.4,24576,12288,0.9228,0.9146,0.9146,0.9088
PHercParis4,20231031143852,canon,2.4,24576,16384,0.766,0.7585,0.7585,0.7513
PHercParis4,20231031143852,canon,2.4,24576,20480,0.7752,0.7758,0.7757,0.7757
PHercParis4,20231031143852,canon,2.4,24576,24576,0.9225,0.9232,0.9232,0.9232
PHercParis4,20231031143852,canon,2.4,24576,28672,0.8224,0.8245,0.8245,0.8244
PHercParis4,20231031143852,canon,2.4,24576,32768,0.8249,0.8264,0.8265,0.8266
PHercParis4,20231031143852,1um_s1z2,2.258,4352,0,0.7531,0.754,0.754,0.754
PHercParis4,20231031143852,1um_s1z2,2.258,4352,4352,0.7172,0.7172,0.717,0.7171
PHercParis4,20231031143852,1um_s1z2,2.258,4352,8704,0.7578,0.7578,0.5689,0.5688
PHercParis4,20231031143852,1um_s1z2,2.258,4352,13056,0.7572,0.7573,0.7573,0.7574
PHercParis4,20231031143852,1um_s1z2,2.258,4352,17408,0.8965,0.8964,0.8964,0.8965
PHercParis4,20231031143852,1um_s1z2,2.258,4352,21760,0.8782,0.8781,0.8781,0.8783
PHercParis4,20231031143852,1um_s1z2,2.258,4352,26112,0.7925,0.7926,0.7925,0.7927
PHercParis4,20231031143852,1um_s1z2,2.258,4352,30464,0.9058,0.9063,0.9062,0.9065
PHercParis4,20231031143852,1um_s1z2,2.258,4352,34816,0.7776,0.7793,0.7791,0.7796
PHercParis4,20231031143852,1um_s1z2,2.258,8704,0,0.8298,0.8298,0.8297,0.8305
PHercParis4,20231031143852,1um_s1z2,2.258,8704,4352,0.7284,0.7282,0.7281,0.7286
PHercParis4,20231031143852,1um_s1z2,2.258,8704,8704,0.7515,0.7515,0.7523,0.7516
PHercParis4,20231031143852,1um_s1z2,2.258,8704,13056,0.7123,0.7123,0.7123,0.7123
PHercParis4,20231031143852,1um_s1z2,2.258,8704,17408,0.8763,0.8762,0.8763,0.8763
PHercParis4,20231031143852,1um_s1z2,2.258,8704,21760,0.8733,0.8733,0.8734,0.8735
PHercParis4,20231031143852,1um_s1z2,2.258,8704,26112,0.9058,0.9061,0.9061,0.9063
PHercParis4,20231031143852,1um_s1z2,2.258,8704,30464,0.8731,0.8743,0.8743,0.8746
PHercParis4,20231031143852,1um_s1z2,2.258,8704,34816,0.7546,0.7567,0.7566,0.757
PHercParis4,20231031143852,1um_s1z2,2.258,13056,4352,0.9257,0.9257,0.9258,0.9265
PHercParis4,20231031143852,1um_s1z2,2.258,13056,8704,0.8831,0.8833,0.8845,0.8834
PHercParis4,20231031143852,1um_s1z2,2.258,13056,13056,0.8324,0.8323,0.8325,0.8322
PHercParis4,20231031143852,1um_s1z2,2.258,13056,17408,0.8413,0.8527,0.8528,0.8528
PHercParis4,20231031143852,1um_s1z2,2.258,13056,21760,0.8703,0.8799,0.8799,0.88
PHercParis4,20231031143852,1um_s1z2,2.258,13056,26112,0.8972,0.8974,0.8974,0.8975
PHercParis4,20231031143852,1um_s1z2,2.258,13056,30464,0.8622,0.8632,0.8633,0.8633
PHercParis4,20231031143852,1um_s1z2,2.258,13056,34816,0.8261,0.8268,0.8268,0.8265
PHercParis4,20231031143852,1um_s1z2,2.258,17408,8704,0.8416,0.8415,0.8414,0.8383
PHercParis4,20231031143852,1um_s1z2,2.258,17408,13056,0.8621,0.8622,0.8622,0.862
PHercParis4,20231031143852,1um_s1z2,2.258,17408,17408,0.8852,0.8979,0.8979,0.898
PHercParis4,20231031143852,1um_s1z2,2.258,17408,21760,0.889,0.8986,0.8987,0.8988
PHercParis4,20231031143852,1um_s1z2,2.258,17408,26112,0.9022,0.9022,0.9022,0.9024
PHercParis4,20231031143852,1um_s1z2,2.258,17408,30464,0.8502,0.8504,0.8504,0.8508
PHercParis4,20231031143852,1um_s1z2,2.258,17408,34816,0.7915,0.7913,0.7914,0.7915
