i,scroll,segment,recipe,y0,x0,bin,mass_letter,key,frac_above,pitch_um
2,PHercParis4,20260701183131-w069-072,canon,32768,49152,0.75-0.82,0.8134,PHercParis4/segments/20260701183131-w069-072/ink-detection/downsampled/PHercParis4-20260701183131-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.197,2.4
3,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,8192,28672,0.93-0.95,0.9344,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1735,2.399
4,PHercParis4,20231031143852,canon,0,8192,0.93-0.95,0.94,PHercParis4/segments/20231031143852/ink-detection/downsampled/PHercParis4-20231031143852-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1455,2.4
8,PHerc0139,20250223000000-w059_2025022312,canon,0,20480,0.30-0.50,0.341,PHerc0139/segments/20250223000000-w059_2025022312/ink-detection/downsampled/PHerc0139-20250223000000-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2215,2.399
9,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,24576,24576,0.90-0.93,0.9294,PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1346,2.399
10,PHerc0814,20260226000000-46527_2um_try2,canon,0,0,0.90-0.93,0.9092,PHerc0814/segments/20260226000000-46527_2um_try2/ink-detection/downsampled/PHerc0814-20260226000000-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1766,2.399
12,PHercParis4,20231022170901,canon,8192,65536,0.95-1.01,0.9519,PHercParis4/segments/20231022170901/ink-detection/downsampled/PHercParis4-20231022170901-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2187,2.4
13,PHerc0139,20260306000001-w051_2026030600,canon,12288,20480,0.65-0.75,0.7223,PHerc0139/segments/20260306000001-w051_2026030600/ink-detection/downsampled/PHerc0139-20260306000001-2.399um-0.22m-78keV-volume-20260102150214-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0388,2.399
15,PHercParis4,20260623171929-w128-129,canon,57344,69632,0.95-1.01,1.0,PHercParis4/segments/20260623171929-w128-129/ink-detection/downsampled/PHercParis4-20260623171929-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0012,2.4
16,PHerc1667,20240304161941-w023_20240304161941_flatboi,canon,32768,69632,0.30-0.50,0.3749,PHerc1667/segments/20240304161941-w023_20240304161941_flatboi/ink-detection/downsampled/PHerc1667-20240304161941-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.0472,2.399
17,PHercParis4,20260701183126-w038-045,canon,40960,61440,0.90-0.93,0.9199,PHercParis4/segments/20260701183126-w038-045/ink-detection/downsampled/PHercParis4-20260701183126-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.2168,2.4
19,PHerc1667,20240304161941-w023_20240304161941_flatboi,canon,16384,90112,0.93-0.95,0.9401,PHerc1667/segments/20240304161941-w023_20240304161941_flatboi/ink-detection/downsampled/PHerc1667-20240304161941-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,0.1558,2.399
