i,label
1,partial
2,speckle
3,text
4,text
5,speckle
6,speckle
7,speckle
8,speckle
9,text
10,text
11,speckle
12,text
13,speckle
14,speckle
15,speckle
16,speckle
17,text
18,partial
19,text
20,text
21,speckle
22,partial
23,partial
24,partial
25,partial
26,text
27,partial
28,text
29,text
30,partial
31,partial
32,text
33,speckle
34,text
35,text
36,partial
37,speckle
38,partial
39,partial
40,partial
41,partial
42,partial
43,partial
44,partial
45,speckle
46,speckle
47,speckle
48,text
49,speckle
50,partial
51,partial
52,partial
53,speckle
54,partial
55,text
56,text
57,partial
58,partial
59,text
60,text
61,text
62,text
63,partial
64,speckle
65,partial
66,speckle
67,partial
68,partial
69,text
70,partial
71,partial
72,speckle
73,partial
74,partial
75,text
76,speckle
77,text
78,text
79,speckle
80,speckle
81,partial
82,partial
83,text
84,partial
85,speckle
86,text
87,text
88,text
89,speckle
90,speckle
91,speckle
92,speckle
93,text
94,speckle
95,speckle
96,partial
97,speckle
98,text
99,partial
100,partial
101,speckle
102,speckle
103,speckle
104,speckle
105,partial
106,partial
107,partial
108,speckle
109,text
110,partial
111,partial
112,partial
113,partial
114,partial
115,text
116,partial
117,text
118,text
119,text
120,speckle
201,speckle
202,text
203,speckle
204,speckle
205,text
206,speckle
207,partial
208,speckle
209,speckle
210,speckle
211,speckle
212,speckle
213,speckle
214,text
215,text
216,speckle
217,speckle
218,speckle
219,partial
220,speckle
221,text
222,text
223,speckle
224,text
225,partial
226,speckle
227,text
228,speckle
229,text
230,speckle
231,speckle
232,speckle
233,speckle
234,speckle
235,partial
236,text
237,text
238,partial
239,text
240,text
