key,scroll,segment,recipe,windows,windows_all,n_text,pct_text,ci_lo,ci_hi,mean_score,max_score,best_y0,best_x0,window_px,max_coverage
PHerc0814/segments/20260226000000-46527_2um_try2/ink-detection/downsampled/PHerc0814-20260226000000-2.399um-0.22m-78keV-volume-20260309142202-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc0814,20260226000000-46527_2um_try2,canon,1,1,1,1.0,0.2065,1.0,0.9092,0.9092,0,0,8192,0.725
PHercParis4/segments/20231022170901/ink-detection/downsampled/PHercParis4-20231022170901-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20231022170901,canon,28,108,12,0.4286,0.2651,0.6093,0.8113,0.9522,0,4096,8192,1.0
PHercParis4/segments/20231221180251/ink-detection/downsampled/PHercParis4-20231221180251-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20231221180251,1um_s1z2,12,48,5,0.4167,0.1933,0.6805,0.6486,0.9279,0,13056,8704,1.0
PHercParis4/segments/20260623142658-w028-037/ink-detection/downsampled/PHercParis4-20260623142658-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623142658-w028-037,1um_s1z2,50,246,19,0.38,0.2586,0.5185,0.8197,0.9694,34816,104448,8704,1.0
PHercParis4/segments/20231007101619/ink-detection/downsampled/PHercParis4-20231007101619-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20231007101619,1um_s1z2,25,95,9,0.36,0.2025,0.5548,0.7286,0.9685,26112,13056,8704,1.0
PHerc1667/segments/20240304144031-w018_20240304144031_flatboi/ink-detection/downsampled/PHerc1667-20240304144031-2.399um-0.22m-78keV-volume-20251217075048-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHerc1667,20240304144031-w018_20240304144031_flatboi,canon,53,194,19,0.3585,0.243,0.4931,0.6789,0.9666,20480,8192,8192,1.0
PHercParis4/segments/20260623143441-w038-045/ink-detection/downsampled/PHercParis4-20260623143441-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20260623143441-w038-045,1um_s1z2,35,149,12,0.3429,0.2083,0.5085,0.8068,0.9841,39168,39168,8704,1.0
PHercParis4/segments/20230702185753/ink-detection/downsampled/PHercParis4-20230702185753-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20230702185753,1um_s1z2,12,42,4,0.3333,0.1381,0.6094,0.8133,0.9719,30464,8704,8704,1.0
PHercParis4/segments/20231012184424/ink-detection/downsampled/PHercParis4-20231012184424-1.129um-0.23m-78keV-volume-20260608103018-L1-20260709123958-mrg20736-1um-s1z2-tile256-stride128-ds8.jpg,PHercParis4,20231012184424,1um_s1z2,19,82,6,0.3158,0.1536,0.5399,0.8036,0.9534,43520,26112,8704,1.0
PHercParis4/segments/20231005123336/ink-detection/downsampled/PHercParis4-20231005123336-2.4um-0.22m-78keV-volume-20260411134726-20260417190342-new_canon_autoresearch_recipe-tile256-stride128-ds8.jpg,PHercParis4,20231005123336,canon,38,141,12,0.3158,0.1908,0.4746,0.7612,0.967,12288,16384,8192,1.0
